Episode,Score,Best Score,Average Score,Time Steps,Learning Steps,Game-win,Game win rate
147,-254.25672843511998,277.7995575809399,-153.78253822788523,10293,5,0,0.0
148,-252.1906387914418,277.7995575809399,-154.0060424937165,10361,5,0,0.0
149,-90.69366054536098,277.7995575809399,-153.58333019674347,10470,5,0,0.0
150,18.175994592532632,277.7995575809399,-151.8977115331413,10577,5,1,0.01
151,-170.79987827611643,277.7995575809399,-152.37304842873974,10695,5,0,0.0
152,-142.57985633300535,277.7995575809399,-151.43267107954904,10769,5,0,0.0
153,-53.61421659256649,277.7995575809399,-150.92595149687676,10839,5,0,0.0
154,-196.90474477354888,277.7995575809399,-151.1171405330159,10878,5,0,0.0
155,-191.9372786005748,277.7995575809399,-151.79216585654763,10925,5,0,0.0
156,-198.82824218158527,277.7995575809399,-152.88200679382734,10964,5,0,0.0
157,-91.43602142519916,277.7995575809399,-152.39832036492353,11060,5,0,0.0
158,3.467423344278558,277.7995575809399,-150.6107600844128,11123,5,0,0.0
159,-193.22106354555424,277.7995575809399,-151.10798159545607,11171,5,0,0.0
160,-190.1036159846849,277.7995575809399,-151.7320610945362,11220,5,0,0.0
161,-63.27188502691729,277.7995575809399,-149.85294067362815,11341,5,0,0.0
162,-136.897012132712,277.7995575809399,-149.541318517823,11416,5,0,0.0
163,-118.31905695885663,277.7995575809399,-149.9736164527412,11453,5,0,0.0
164,-179.08585401666735,277.7995575809399,-150.65689331052144,11565,5,0,0.0
165,-78.3893917784579,277.7995575809399,-149.48739440921165,11627,5,0,0.0
166,-159.68303908620123,277.7995575809399,-150.705598254459,11686,5,0,0.0
167,-188.70400274248658,277.7995575809399,-150.646225332694,11736,5,0,0.0
168,-181.22521972444247,277.7995575809399,-151.99213025494043,11808,5,0,0.0
169,-166.0033231985972,277.7995575809399,-151.9355318896461,11857,5,0,0.0
170,-252.07444767938426,277.7995575809399,-151.59859305334646,11913,5,0,0.0
171,-262.2164176310477,277.7995575809399,-152.31199242355027,11977,5,0,0.0
172,-124.25924168248832,277.7995575809399,-152.7111425088949,12036,5,0,0.0
173,99.35228872792186,277.7995575809399,-150.02653810730902,12126,5,1,0.02
174,-93.26164016207854,277.7995575809399,-148.23477558461238,12212,5,0,0.02
175,-76.03379300153398,277.7995575809399,-147.292127775521,12294,6,0,0.0
176,-166.64392904031797,277.7995575809399,-147.06411882924408,12344,6,0,0.0
177,-109.93754738835811,277.7995575809399,-146.47551078995474,12437,6,0,0.0
178,-147.58504018485212,277.7995575809399,-146.80454288552636,12469,6,0,0.0
179,-245.82517245719924,277.7995575809399,-147.48831259381873,12517,6,0,0.0
180,-143.13576314655182,277.7995575809399,-147.2174007390198,12578,6,0,0.0
181,-120.0407372807818,277.7995575809399,-147.1270473745357,12609,6,0,0.0
182,-253.76630777616805,277.7995575809399,-147.16132426331743,12682,6,0,0.0
183,-115.00469334004951,277.7995575809399,-147.61530378397703,12752,6,0,0.0
184,-125.81935620757642,277.7995575809399,-146.61301518971746,12863,6,0,0.0
185,-178.39648629746665,277.7995575809399,-145.9762556248743,12934,6,0,0.0
186,-152.19658955271817,277.7995575809399,-146.15481008336064,13009,6,0,0.0
187,-146.08319928995422,277.7995575809399,-145.68388347005256,13125,6,0,0.0
188,-267.2453348535746,277.7995575809399,-147.03245183139524,13185,6,0,0.0
189,-250.8063661762986,277.7995575809399,-148.06466843121095,13242,6,0,0.0
190,4.701666204910055,277.7995575809399,-148.07767676222912,13332,6,1,0.01
191,-103.5192839550164,277.7995575809399,-149.2461047831812,13369,6,0,0.01
192,-244.06511944940323,277.7995575809399,-150.1166663851349,13417,6,0,0.01
193,-156.93106865796068,277.7995575809399,-149.95314803616031,13490,6,0,0.0
194,-32.63019633524959,277.7995575809399,-149.1016149387027,13571,6,0,0.0
195,-112.00264820408438,277.7995575809399,-147.78393339168838,13640,6,0,0.0
196,-272.12208489540427,277.7995575809399,-149.03624474520305,13692,6,0,0.0
197,-150.92911922900157,277.7995575809399,-148.9766880340828,13795,6,0,0.0
198,-255.42405271414276,277.7995575809399,-150.05679582034617,13851,6,0,0.0
199,-273.2825711773326,277.7995575809399,-151.51919722108255,13951,6,0,0.0
200,-69.5048210699037,277.7995575809399,-149.85170957607406,14060,6,0,0.0
201,-148.509292168785,277.7995575809399,-149.50030889012868,14138,6,0,0.0
202,-153.38889555510752,277.7995575809399,-149.19927273491894,14188,6,0,0.0
203,-115.75930794909885,277.7995575809399,-150.1539318051656,14272,6,0,0.0
204,380.11584598288573,380.11584598288573,-145.36082711158593,14496,7,1,0.02
205,-34.324335990305485,380.11584598288573,-144.62176296548103,14615,7,1,0.01
206,-191.42001681756713,380.11584598288573,-145.10498993747723,14677,7,0,0.01
207,-288.4813983653526,380.11584598288573,-146.62383363139,14772,7,0,0.0
208,-147.12541486898692,380.11584598288573,-146.57449910436054,14820,7,0,0.0
209,-110.7183073760811,380.11584598288573,-146.571148429687,14858,7,0,0.0
210,-78.09595246997752,380.11584598288573,-146.07159052588628,14946,7,0,0.0
211,-153.22696809627524,380.11584598288573,-146.06139278063318,15044,7,0,0.0
212,-85.70310948108856,380.11584598288573,-145.72545188056523,15113,7,0,0.0
213,84.69998206013966,380.11584598288573,-142.76960350651882,15207,7,1,0.01
214,-166.04012222842198,380.11584598288573,-141.99389791315355,15295,7,0,0.01
215,-272.1581909718984,380.11584598288573,-142.73556231689324,15373,7,0,0.0
216,-1000.0,380.11584598288573,-150.55899422585958,15670,7,0,0.0
217,-52.6663703597376,380.11584598288573,-152.56811275541554,15815,7,0,0.0
218,-129.8592506871384,380.11584598288573,-152.55801473495225,15862,7,0,0.0
219,-145.23790325996595,380.11584598288573,-151.19506797922148,15923,7,0,0.0
220,-43.34881282675636,380.11584598288573,-149.7346670423155,16014,7,0,0.0
221,-160.62410158795876,380.11584598288573,-149.93936841175292,16096,7,0,0.0
222,141.80273440818655,380.11584598288573,-147.38060793004934,16234,7,0,0.01
223,-152.99269632952422,380.11584598288573,-147.55458348135943,16339,7,0,0.0
224,-152.0932456998226,380.11584598288573,-147.48448234664235,16395,8,0,0.0
225,-107.03941161277801,380.11584598288573,-147.9369296887732,16433,8,0,0.0
226,-283.2845134806958,380.11584598288573,-149.71357730057426,16521,8,0,0.0
227,-243.5563007798998,380.11584598288573,-150.52598053235187,16572,8,0,0.0
228,-173.2997347147769,380.11584598288573,-151.54788651760936,16646,8,0,0.0
229,-111.49364958942755,380.11584598288573,-152.03277020293007,16754,8,0,0.0
230,-394.2946573986068,380.11584598288573,-154.71115345903777,16871,8,0,0.0
231,-303.74196696090326,380.11584598288573,-154.80596076348283,16953,8,0,0.0
232,-82.55961268259861,380.11584598288573,-152.93859866335106,17093,8,0,0.0
233,-207.06563605619039,380.11584598288573,-152.51271997459443,17226,8,0,0.0
234,-245.75092839567282,380.11584598288573,-153.67790350876183,17349,8,0,0.0
235,-262.22357648823373,380.11584598288573,-154.95899567183827,17411,8,0,0.0
236,-162.00028655473187,380.11584598288573,-154.68613197624555,17526,8,0,0.0
237,-103.62672163734226,380.11584598288573,-154.61252950309404,17671,8,0,0.0
238,-268.256607657686,380.11584598288573,-155.00413581414756,17738,8,0,0.0
239,-106.90231911166008,380.11584598288573,-153.7677186956691,17866,8,0,0.0
240,-175.47911117453717,380.11584598288573,-154.31469650848072,17922,8,0,0.0
241,-168.6962970858026,380.11584598288573,-154.38419916205632,17998,8,0,0.0
242,-98.94664418080735,380.11584598288573,-154.11172167596885,18102,8,0,0.0
243,-139.10209094354758,380.11584598288573,-152.89258634157127,18174,8,0,0.0
244,92.1205221980106,380.11584598288573,-150.70234852599472,19175,9,0,0.0
245,-150.98863094939392,380.11584598288573,-150.5487980447497,19216,9,0,0.0
246,-114.23617108656347,380.11584598288573,-150.58769863098837,19286,9,0,0.0
247,-284.5375931756464,380.11584598288573,-150.8905072783936,19337,9,0,0.0
248,-272.0961684226577,380.11584598288573,-151.0895625747058,19396,9,0,0.0
249,-264.72443951757225,380.11584598288573,-152.8298703644279,19445,9,0,0.0
250,-129.3878870685271,380.11584598288573,-154.30550918103847,19491,9,0,0.0
251,-270.28400401529586,380.11584598288573,-155.3003504384303,19556,9,0,0.0
252,-396.6145878878106,380.11584598288573,-157.84069775397836,19708,9,0,0.0
253,-46.41089848613427,380.11584598288573,-157.76866457291402,19788,9,0,0.0
254,-122.78179335057405,380.11584598288573,-157.02743505868423,19990,9,0,0.0
255,-199.73615224360458,380.11584598288573,-157.10542379511458,20072,9,0,0.0
256,-112.3280482907045,380.11584598288573,-156.24042185620576,20208,9,0,0.0
257,-185.74309338624738,380.11584598288573,-157.18349257581625,20283,9,0,0.0
258,-236.7948466538055,380.11584598288573,-159.58611527579708,20336,9,0,0.0
259,-307.21849476854277,380.11584598288573,-160.72608958802698,20429,9,0,0.0
260,-170.7729177071608,380.11584598288573,-160.53278260525173,20491,10,0,0.0
261,-267.7756871302022,380.11584598288573,-162.5778206262846,20556,10,0,0.0
262,-132.01166239171718,380.11584598288573,-162.52896712887465,20643,10,0,0.0
263,-144.66261577963485,380.11584598288573,-162.7924027170824,20783,10,0,0.0
264,-153.96447562082665,380.11584598288573,-162.541188933124,20863,10,0,0.0
265,-239.2446794884981,380.11584598288573,-164.1497418102244,20933,10,0,0.0
266,-267.89174541932584,380.11584598288573,-165.23182887355568,20991,10,0,0.0
267,-253.2022114104462,380.11584598288573,-165.87681096023528,21045,10,0,0.0
268,-249.04688360253232,380.11584598288573,-166.55502759901614,21143,10,0,0.0
269,-156.6795729581159,380.11584598288573,-166.46179009661137,21218,10,0,0.0
270,-275.9714829311296,380.11584598288573,-166.70076044912878,21292,10,0,0.0
271,-279.649653947558,380.11584598288573,-166.87509281229393,21355,10,0,0.0
272,-266.76488090277485,380.11584598288573,-168.30014920449673,21434,10,0,0.0
273,-248.06682845741994,380.11584598288573,-171.77434037635018,21494,10,0,0.0
274,-98.63122199103644,380.11584598288573,-171.82803619463976,21527,10,0,0.0
275,-264.4046821343112,380.11584598288573,-173.71174508596752,21587,10,0,0.0
276,-149.00139567414413,380.11584598288573,-173.5353197523058,21683,10,0,0.0
277,-23.976000251401643,380.11584598288573,-172.67570428093623,21767,10,0,0.0
278,-135.92512771460076,380.11584598288573,-172.5591051562337,21825,10,0,0.0
279,-185.14671062340898,380.11584598288573,-171.9523205378958,21926,10,0,0.0
280,-180.122465249371,380.11584598288573,-172.32218755892393,22072,10,0,0.0
281,-116.48774499183558,380.11584598288573,-172.2866576360345,22125,10,0,0.0
282,-89.53326908568783,380.11584598288573,-170.6443272491297,22242,10,0,0.0
283,-151.1958599431407,380.11584598288573,-171.00623891516065,22346,10,0,0.0
284,-103.47210764602471,380.11584598288573,-170.78276642954515,22382,10,0,0.0
285,-169.79274755056434,380.11584598288573,-170.69672904207616,22449,10,0,0.0
286,406.6644207012173,406.6644207012173,-165.1081189395368,22556,11,1,0.02
287,-183.34266687843677,406.6644207012173,-165.4807136154216,22604,11,0,0.02
288,-48.43026087147324,406.6644207012173,-163.29256287560057,22706,11,0,0.0
289,-230.146170424065,406.6644207012173,-163.08596091807823,22806,11,0,0.0
290,-128.0083944913826,406.6644207012173,-164.41306152504114,22868,11,0,0.0
291,-130.89337651661918,406.6644207012173,-164.68680245065718,22972,11,0,0.0
292,-357.8475047461128,406.6644207012173,-165.82462630362429,23120,11,0,0.0
293,-76.20108245526151,406.6644207012173,-165.01732644159728,23170,11,0,0.0
294,-54.58283762421726,406.6644207012173,-165.23685285448693,23219,11,0,0.0
295,403.36269849975054,406.6644207012173,-160.08319938744862,23322,11,1,0.02
296,-165.92008521616634,406.6644207012173,-159.02117939065624,23552,11,0,0.0
297,-73.9851890109119,406.6644207012173,-158.25174008847537,23658,11,0,0.0
298,-180.86363442847318,406.6644207012173,-157.50613590561863,23717,11,0,0.0
299,244.22149878444262,406.6644207012173,-152.3310952060009,23803,11,1,0.02
300,-248.5586877514093,406.6644207012173,-154.12163387281598,23864,11,0,0.02
301,-152.31395276363827,406.6644207012173,-154.1596804787645,23930,11,0,0.0
302,-240.7475088760854,406.6644207012173,-155.03326661197428,23989,11,0,0.0
303,-158.66492578285408,406.6644207012173,-155.46232279031182,24019,11,0,0.0
304,-204.1802379201264,406.6644207012173,-161.30528362934194,24091,11,0,0.0
305,-246.94346161816878,406.6644207012173,-163.4314748856206,24142,11,0,0.0
306,-254.20701708155278,406.6644207012173,-164.05934488826043,24212,11,0,0.0
307,-214.10266971760188,406.6644207012173,-163.31555760178293,24305,11,0,0.0
308,-144.89963047359407,406.6644207012173,-163.293299757829,24377,11,0,0.0
